avg_bond_length,std_bond_length,skew_bond_length,distortion_index,quadratic_elongation,n_corner_pairs,n_edge_pairs,n_face_pairs,n_atoms_in_cell,avg_bond_angles,std_bond_length_angles,skew_bond_length_angles,volumes,bond_angle_variance,central_atoms,polyhedra_formula,poly_types,n_atoms_per_cell,Formula,cif_name,Material,Structure,Structure type,Mol wt (g/mol),Central Atom(s),Total Number of TM,Capacity (mAh/g),1st Discharge (mAh/g),1st Charge (mAh/g),1st Charge/1st Discharge Ratio,2nd Discharge (mAh/g),2nd/1st Discharge Ratio,x moles of Li+,Li/TM ,Rate of cycling (nC),m (width),n (height),Repeat (e.g. ? or 1 ),Cycling Shape,Area,Perimeter,Edge pairs/Corner Pairs,Paper with reported capacity,Notes
2.025448972,0.178780615,1.027579113,0.074416511,1.202797406,192,48,0,144,89.98260324,2.978050154,-0.739598818,10.91027814,9.675365852,Nb,O6,Octahedron,144,Nb2CoO6,CoNb2O6,,,,,,,,,,,,,,,,,,,,,,0.25,,
2.098661726,0.152844307,0.615141592,0.067318411,1.20882984,192,48,0,144,89.99997335,3.103740203,0.272541905,12.04592613,10.508949,Cu,O6,Octahedron,144,Nb2CuO6,CuNb2O6,CuNb2O6,Wadsley-Roth Adjacent,Columbite,345.36,"Cu, Nb",3,256,617.114,254.7,0.412727632,234.11,0.379362646,3.298790237,1.099596746,,,,,Asymmetric,,,0.25,10.1039/D0QI00475H,"The reason this is highlighted red is because the 1st disharge value is quite high compared to the other materials, but this is because the cutoff voltage is different (it is at 0-3V). "
2.014748461,0.137850148,0.270149826,0.059474748,1.222463807,192,48,0,144,90.01033929,3.191322065,-1.052093558,10.48019947,11.11251681,Nb,O6,Octahedron,144,Nb2CuO6,CuNb2O6,CuNb2O6,Wadsley-Roth Adjacent,Columbite,345.36,"Cu, Nb",3,256,617.114,254.7,0.412727632,234.11,0.379362646,3.298790237,1.099596746,,,,,Asymmetric,,,0.25,10.1039/D0QI00475H,"The reason this is highlighted red is because the 1st disharge value is quite high compared to the other materials, but this is because the cutoff voltage is different (it is at 0-3V). "
2.012891763,0.154902158,0.673580487,0.061034965,1.223757188,136,168,0,328,90.15887423,4.032065128,-0.028511669,10.43560946,21.66574683,Nb,O6,Octahedron,328,Nb12O29,FeNb11O29,FeNb11O29,Wadsley-Roth,WR,1541.8,"Fe, Nb",12,288.8,294.46,298.56,1.013923793,288.98,0.981389662,16.6137599,1.384479992,0.5,3,4,inf,Symmetric,12,14,1.235294118,10.1063/5.0054030,No specific capacity reported aside from Figure 3b. 
2.111698785,0.015568621,-0.653383524,0.006891562,1.206529024,192,48,0,144,89.96767937,2.299722103,1.093891848,12.30693415,5.770654226,Fe,O6,Octahedron,144,Nb2FeO6,FeNb2O6,,,,,,,,,,,,,,,,,,,,,,0.25,,
2.01814624,0.142038218,-0.031115244,0.068613039,1.220991258,192,48,0,144,90.03063651,3.250552164,-1.249648053,10.55236232,11.52766687,Nb,O6,Octahedron,144,Nb2FeO6,FeNb2O6,,,,,,,,,,,,,,,,,,,,,,0.25,,
1.752031491,8.09E-16,,4.00E-16,2.256328571,176,106,0,160,109.5000138,3.001226252,0.707106781,2.748418337,10.80982568,Ge,O4,Tetrahedron,160,Nb13Ge2O25,GeNb18.896O50,GeNb18O47,Wadsley-Roth,WR,2496.9,Nb,18,165.4,260,212.5,0.817307692,230,0.884615385,15.40917382,0.856065212,0.1,3,3,inf,Symmetric,9,12,0.602272727,10.1016/j.electacta.2018.06.109,Two cycling plots are provided (one at electrical current density of100 mAg^-1 and 500 mAg^-1). We are using 100 mA/g  for capacity values
2.001041642,0.136183664,0.335730873,0.051491433,1.220597674,176,106,0,160,90.15885399,4.211761161,-0.053472035,10.29156779,21.80543792,Nb,O6,Octahedron,160,Nb13Ge2O25,GeNb18.896O50,GeNb18O47,Wadsley-Roth,WR,2496.9,Nb,18,165.4,260,212.5,0.817307692,230,0.884615385,15.40917382,0.856065212,0.1,3,3,inf,Symmetric,9,12,0.602272727,10.1016/j.electacta.2018.06.109,Two cycling plots are provided (one at electrical current density of100 mAg^-1 and 500 mAg^-1). We are using 100 mA/g  for capacity values
1.882415582,0.138452245,-1.113305675,0.063302544,2.604651031,176,106,0,160,110.2952237,16.01262493,0.833871925,2.748418337,308.4997656,Nb,O4,Tetrahedron,160,Nb13Ge2O25,GeNb18.896O50,GeNb18O47,Wadsley-Roth,WR,2496.9,Nb,18,165.4,260,212.5,0.817307692,230,0.884615385,15.40917382,0.856065212,0.1,3,3,inf,Symmetric,9,12,0.602272727,10.1016/j.electacta.2018.06.109,Two cycling plots are provided (one at electrical current density of100 mAg^-1 and 500 mAg^-1). We are using 100 mA/g  for capacity values
2.003560238,0.149546028,0.489177146,0.057573323,1.224422771,94,85,0,198,90.15198014,4.219685854,0.102094038,10.28253253,22.14006542,Nb,O6,Octahedron,198,Nb29O70,H_Nb2O5,H-Nb2O5,Wadsley-Roth,WR,265.8,Nb,2,164.1,225,215.29,0.956844444,212.5,0.944444444,1.627444763,0.813722382,0.1,3,3,inf,Symmetric,9,12,0.904255319,10.1021/jacs.6b04345,
1.825405516,0.012873731,-6.49E-15,0.007052532,2.278735525,94,85,0,198,109.5400988,5.203444548,0.872060784,3.062653176,32.49669523,Nb,O4,Tetrahedron,198,Nb29O70,H_Nb2O5,H-Nb2O5,Wadsley-Roth,WR,265.8,Nb,2,164.1,225,215.29,0.956844444,212.5,0.944444444,1.627444763,0.813722382,0.1,3,3,inf,Symmetric,9,12,0.904255319,10.1021/jacs.6b04345,
2.787163552,0.046533312,0.707106781,0.015740744,4.16935685,80,52,4,96,103.4808914,27.77421929,0.36707257,20.34575206,,K,O6,Trigonal prism,96,KNb3O8,KNb3O8,KNb3O8,Wadsley-Roth Adjacent,Layered,445.81,,3,382.87,382.87,172.68,0.451014705,191.97,0.501397341,6.368598113,2.122866038,0.0056,2,2,1,Symmetric,4,8,0.65,10.1039/D1TA02992D,"No general specific capacity reported, so first discharge is used."
2.025455351,0.203293954,0.536234711,0.076226401,1.240350609,80,52,4,96,90.12526027,4.357394264,0.282635751,10.41869441,20.82587547,Nb,O6,Octahedron,96,KNb3O8,KNb3O8,KNb3O8,Wadsley-Roth Adjacent,Layered,445.81,,3,382.87,382.87,172.68,0.451014705,191.97,0.501397341,6.368598113,2.122866038,0.0056,2,2,1,Symmetric,4,8,0.65,10.1039/D1TA02992D,"No general specific capacity reported, so first discharge is used."
2.016681048,0.12366497,0.404227501,0.054865382,1.222076091,128,32,0,96,90.0831711,3.917928743,-0.857944454,10.51537843,16.75318153,Nb,O6,Octahedron,96,NbZnO4,KV2NbO8,,,,,,,,,,,,,,,,,,,,,,0.25,,
2.107532426,0.082423864,0.385140357,0.034863773,1.225802062,128,32,0,96,89.96809504,3.335580602,0.46692428,11.94683598,12.13867187,Zn,O6,Octahedron,96,NbZnO4,KV2NbO8,,,,,,,,,,,,,,,,,,,,,,0.25,,
2.188810927,0.095553098,0.450875134,0.03781106,1.22348988,96,48,0,96,89.97889978,3.423354932,-0.726573352,13.42099762,12.78524096,Li,O6,Octahedron,96,LiNb3O8,LiNb3O8,LiNb3O8,Wadsley-Roth Adjacent,Columbite,413.66,,3,234,312.11,,,308.55,0.988593765,3.611620293,1.203873431,0.1,,,,Asymmetric,,,0.5,10.1021/jp206505y,
2.004894822,0.143289277,0.409424681,0.06136616,1.219925701,96,48,0,96,90.02938848,2.974083185,-0.292097566,10.35949413,10.28390189,Nb,O6,Octahedron,96,LiNb3O8,LiNb3O8,LiNb3O8,Wadsley-Roth Adjacent,Columbite,413.66,,3,234,312.11,,,308.55,0.988593765,3.611620293,1.203873431,0.1,,,,Asymmetric,,,0.5,10.1021/jp206505y,
1.842729972,0.023413302,1.154700538,0.011003519,2.265621131,144,72,0,104,109.4368602,1.988479529,3.13E-15,3.178079791,4.746277774,Li,O4,Tetrahedron,104,LiScMo3O8,LiScMo3O8,LiScMo3O8,Wadsley-Roth Adjacent,Kagome ,467.71,Mo,3,120,115,80,Not provided,2.094115355,0.698038452,2.094115355,0.698038452,0.1,,,100,Symmetric,,,0.5,10.1021/jacs.1c12070,
1.982042575,0.152587371,0.411354314,0.069812632,1.204317971,144,72,0,104,90.00199811,4.092853117,-0.035359691,10.20440799,18.27430978,Mo,O6,Octahedron,104,LiScMo3O8,LiScMo3O8,LiScMo3O8,Wadsley-Roth Adjacent,Kagome ,467.71,Mo,3,120,115,80,Not provided,2.094115355,0.698038452,2.094115355,0.698038452,0.1,,,100,Symmetric,,,0.5,10.1021/jacs.1c12070,
2.213581682,0.148038115,-2.14E-16,0.066877187,1.229284033,144,72,0,104,89.99984442,9.899343606,-0.000722426,13.78379873,106.9058224,Sc,O6,Octahedron,104,LiScMo3O8,LiScMo3O8,LiScMo3O8,Wadsley-Roth Adjacent,Kagome ,467.71,Mo,3,120,115,80,Not provided,2.094115355,0.698038452,2.094115355,0.698038452,0.1,,,100,Symmetric,,,0.5,10.1021/jacs.1c12070,
2.098180831,0.024063543,0.706410108,0.010811671,1.2077164,192,48,0,144,89.96894446,2.31206509,0.580878329,12.05429808,5.832664828,Mg,O6,Octahedron,144,MgNb2O6,MgNb2O6,MgNb2O6,Wadsley-Roth Adjacent,Columbite,306.11,"Mg, Nb",3,22.76423871,80.05132097,65.64856225,0.820080936,,,0.26,0.086666667,,,,,asymmetric,,,0.25,10.1021/jp206505y,"The specific capacity is not reported, only x in LixMgNb2O6. Block size is also not mentioned. The paper only states that ""(1 x 1) zigzag channels exist."""
2.01462455,0.15064457,0.276186418,0.062784921,1.223808717,192,48,0,144,90.0221739,3.231359947,-1.168301073,10.46098741,11.39146777,Nb,O6,Octahedron,144,MgNb2O6,MgNb2O6,MgNb2O6,Wadsley-Roth Adjacent,Columbite,306.11,"Mg, Nb",3,22.76423871,80.05132097,65.64856225,0.820080936,,,0.26,0.086666667,,,,,asymmetric,,,0.25,10.1021/jp206505y,"The specific capacity is not reported, only x in LixMgNb2O6. Block size is also not mentioned. The paper only states that ""(1 x 1) zigzag channels exist."""
1.874097552,0.180464075,0.218333547,0.091233099,0.942132991,8,24,0,56,106.8329055,25.14794634,1.05780939,4.79862711,,V,O5,Square pyramid,56,V2O5,Mo0.56V1.44O5,,,,,,,,,,,,,,,,,,,,,,3,,
1.770678063,0.831117758,0.707106781,0.442534052,2.461208005,200,31,10,244,90,28.70734922,-1.54E-16,2.490330396,899.0311627,Mo,O6,Octahedron,244,Nb16MoO44,Mo3Nb14O44,Mo3Nb14O44,,,2292.48,"Mo,Nb",17,,,,,,,,,,4,4,,,16,16,0.155,,
1.770678063,0.831117758,0.707106781,0.442534052,8.269140731,200,31,10,244,99.61193921,44.58040711,-0.321150549,1.867747797,,Mo,O6,Trigonal prism,244,Nb16MoO44,Mo3Nb14O44,Mo3Nb14O44,,,2292.48,"Mo,Nb",17,,,,,,,,,,4,4,,,16,16,0.155,,
2.437155219,1.056396163,-0.894446695,0.320999294,1.441016571,200,31,10,244,94.56476037,20.4380836,0.478827209,14.49461665,475.0983234,Nb,O6,Octahedron,244,Nb16MoO44,Mo3Nb14O44,Mo3Nb14O44,,,2292.48,"Mo,Nb",17,,,,,,,,,,4,4,,,16,16,0.155,,
2.086875765,0.782365726,-0.425847335,0.311373041,3.874186939,200,31,10,244,96.64191695,30.28631318,-0.175299958,9.573341092,,Nb,O6,Trigonal prism,244,Nb16MoO44,Mo3Nb14O44,Mo3Nb14O44,,,2292.48,"Mo,Nb",17,,,,,,,,,,4,4,,,16,16,0.155,,
1.935409269,0.134847046,-0.083613341,0.068791153,1.204123814,88,0,0,120,90.00698032,1.77956494,0.135330283,9.508994551,3.486811134,Mo,O6,Octahedron,120,Mo4O11,Mo4O11,,,,,,,,,,,,,,,,,,,,,,0,,
1.736284003,0.013607472,0.693124238,0.006693713,2.252097607,88,0,0,120,109.4699638,1.113979247,1.450221106,2.682514671,1.489141611,Mo,O4,Tetrahedron,120,Mo4O11,Mo4O11,,,,,,,,,,,,,,,,,,,,,,0,,
1.698673628,0.00238929,-1.74E-14,0.001406562,2.251545676,84,64,0,184,109.47814,1.490967464,0.651006553,2.512865929,2.667638229,Mo,O4,Tetrahedron,184,Nb12MoO33,MoNb12O33,MoNb12O33,Wadsley-Roth,WR,1738.8,"Mo, Nb",13,401,299.34,295.35,0.986670675,296.06,0.98904256,26.01577116,2.001213166,1,3,4,inf,Symmetric,12,14,0.761904762,10.1039/C9TA00309F,
1.981113901,0.090952371,0.178612456,0.043063856,1.261190798,84,64,0,184,94.17866141,15.31789147,1.336708165,9.512076372,318.3643606,Nb,O6,Octahedron,184,Nb12MoO33,MoNb12O33,MoNb12O33,Wadsley-Roth,WR,1738.8,"Mo, Nb",13,401,299.34,295.35,0.986670675,296.06,0.98904256,26.01577116,2.001213166,1,3,4,inf,Symmetric,12,14,0.761904762,10.1039/C9TA00309F,
2.854214188,0.376643309,0.707106781,0.124413479,2.142519474,96,98,2,188,90,30.71792996,2.12E-16,12.8420141,1029.372241,Na,O6,Octahedron,188,NaNb13O33,NaNb13O33,NaNb13O33,Wadsley-Roth,WR,1758.75,Nb,13,225,216.61,165.31,0.763168829,214.91,0.992151794,14.76485982,1.135758448,0.066666,5,2.5,inf,Symmetric,12.5,15,1.020833333,10.1021/acs.chenmater.3c01066,Same material as paper in row 13. Capacity esitmated from Fig.6 and S10. 
2.005237208,0.164780486,0.470517438,0.064395335,1.224492742,96,98,2,188,90.09054253,3.469985027,-0.034610494,10.3081433,15.97120959,Nb,O6,Octahedron,188,NaNb13O33,NaNb13O33,NaNb13O33,Wadsley-Roth,WR,1758.75,Nb,13,225,216.61,165.31,0.763168829,214.91,0.992151794,14.76485982,1.135758448,0.066666,5,2.5,inf,Symmetric,12.5,15,1.020833333,10.1021/acs.chenmater.3c01066,Same material as paper in row 13. Capacity esitmated from Fig.6 and S10. 
2.689569033,0.240428744,-0.505003204,0.056312496,4.725527848,28,34,2,48,102.9364757,27.95006391,0.41099853,15.15174261,,Na,O6,Trigonal prism,48,NaNb3O8,NaNb3O8,NaNb3O8,Wadsley-Roth Adjacent,Layered,429.7,,3,350,350,153.04,0.437257143,161.25,0.460714286,5.611462922,1.870487641,0.0056,2,2,1,Symmetric,4,8,1.214285714,10.1039/D1TA02992D,"No general specific capacity reported, so first discharge is used."
2.053729911,0.290459455,0.196032239,0.12050855,1.244363765,28,34,2,48,90.25683578,5.898726711,0.158852277,10.82053231,40.3302797,Nb,O6,Octahedron,48,NaNb3O8,NaNb3O8,NaNb3O8,Wadsley-Roth Adjacent,Layered,429.7,,3,350,350,153.04,0.437257143,161.25,0.460714286,5.611462922,1.870487641,0.0056,2,2,1,Symmetric,4,8,1.214285714,10.1039/D1TA02992D,"No general specific capacity reported, so first discharge is used."
1.98807831,0.112670187,0.356518638,0.045473781,1.229828437,168,112,0,328,92.29148081,10.39925725,0.859901426,10.00477428,186.8572248,Nb,O6,Octahedron,328,Nb12O29,Nb12O29,,,,,,,,,,,,,,,,,,,,,,0.666666667,,
2.019663212,0.177195886,-1.00403421,0.074185736,2.560371153,168,112,0,328,109.228942,7.223292905,1.22737035,3.482916831,62.68159117,Nb,O4,Tetrahedron,328,Nb12O29,Nb12O29,,,,,,,,,,,,,,,,,,,,,,0.666666667,,
1.97699855,0.07515269,0.512057803,0.025559628,1.212479721,16,40,0,88,90.14836534,3.593671957,-0.123292544,10.02526095,21.16880248,Nb,O6,Octahedron,88,Nb3O8,Nb3O7F,Nb3O7F,Wadsley-Roth,WR,409.71,Nb,3,160,161.63,,,105.22,0.650993009,2.445903094,0.815301031,,,1,1,Asymmetric,,,2.5,10.1039/d0ta01406k,"Forms the uncommon 2D shear planes than 1D, exhibits initially irreversible capacity but eventually has a reversible capacity of 85 mAh/g (but at undisclosed cycle number)"
1.97699855,0.07515269,0.512057803,0.025559628,1.212479721,16,40,0,88,90.14836534,3.593671957,-0.123292544,10.02526095,21.16880248,Nb,O6,Octahedron,88,Nb3O8,Nb3O7F,Nb3O7F,Wadsley-Roth Adjacent,ReO3,409.71,Nb,3,110,110,,,85,0.772727273,1.681558377,0.560519459,0.1,3,1,1,Asymmetric,3,8,2.5, 10.1039/d0ta01406k,
1.66055569,8.65E-16,,4.35E-16,2.387652472,80,10,8,140,110.0243012,14.48921562,-0.707106781,2.149632852,252.2919211,Mo,O4,Tetrahedron,140,Nb9MoO25,Nb7Ti1.5Mo1.5O25,Nb7Ti1.5Mo1.5O25,Wadsley-Roth,WR,1285.71,"Nb, Ti",10,268,267.55,247.61,1.080529866,232.44,1.151049733,12.85643373,1.285643373,0.1,3,3,inf,Asymmetric,9,12,0.125,10.1039/D3DT02144K,
1.920770663,0.013591061,-0.707106781,0.006671164,1.193391444,80,10,8,140,90.06671664,2.768206958,-0.072191101,9.41483665,8.364459134,Nb,O6,Octahedron,140,Nb9MoO25,Nb7Ti1.5Mo1.5O25,Nb7Ti1.5Mo1.5O25,Wadsley-Roth,WR,1285.71,"Nb, Ti",10,268,267.55,247.61,1.080529866,232.44,1.151049733,12.85643373,1.285643373,0.1,3,3,inf,Asymmetric,9,12,0.125,10.1039/D3DT02144K,
2.079404874,0.258078178,0.311052415,0.1068622,0.908849718,80,10,8,140,106.3064552,24.09947461,0.939637642,6.918115341,,Nb,O5,Square pyramid,140,Nb9MoO25,Nb7Ti1.5Mo1.5O25,Nb7Ti1.5Mo1.5O25,Wadsley-Roth,WR,1285.71,"Nb, Ti",10,268,267.55,247.61,1.080529866,232.44,1.151049733,12.85643373,1.285643373,0.1,3,3,inf,Asymmetric,9,12,0.125,10.1039/D3DT02144K,
1.963140222,0.363410118,-0.32961894,0.153542878,5.790866596,80,10,8,140,100.6734933,40.24852537,-1.079633084,4.34338783,,Nb,O6,Trigonal prism,140,Nb9MoO25,Nb7Ti1.5Mo1.5O25,Nb7Ti1.5Mo1.5O25,Wadsley-Roth,WR,1285.71,"Nb, Ti",10,268,267.55,247.61,1.080529866,232.44,1.151049733,12.85643373,1.285643373,0.1,3,3,inf,Asymmetric,9,12,0.125,10.1039/D3DT02144K,
2.034270337,0.155080314,0.313808347,0.063511947,1.237665288,120,76,0,224,90.12862935,6.295582373,-0.197593529,10.59734951,45.40507839,Nb,O6,Octahedron,224,Nb2O5,N_Nb2O5,N-Nb2O5,,,,,2,,,,,,,,,,,,,,,,0.633333333,,
2.035798627,0.005524416,-0.436157542,0.002376969,1.66792374,120,76,0,224,106.4619658,23.55786273,0.986435275,6.784233607,,Nb,O5,Trigonal bipyramid,224,Nb2O5,N_Nb2O5,N-Nb2O5,,,,,2,,,,,,,,,,,,,,,,0.633333333,,
1.999764224,0.124088083,0.25482834,0.045591643,1.225443194,48,50,0,140,90.2172779,5.078241386,-0.276712877,10.21241542,31.8982222,Nb,O6,Octahedron,140,Nb9PO25,PNb9O25,PNb9O25,Wadsley-Roth,WR,1267.11,Nb,9,254,246.27,229.84,0.933284606,229.27,0.930970073,12.00855453,1.334283837,0.1,3,3,inf,Symmetric,9,12,1.041666667,10.1016/j.jpowsour.2021.230776,C/40 = 12Q/40 = 254 mA h g?1/40 h = 6.35 mA g?1
1.867,4.93E-16,,1.95E-16,1.190550789,81,0,0,108,90,2.30E-14,,8.677041817,6.20E-28,Re,O6,Octahedron,108,ReO3,ReO3,,,,,,,,,,,,,,,,,,,,,,0,,
2.01582067,0.195803048,0.05179726,0.081774727,1.230512366,8,32,0,56,90.07252795,3.294244339,-0.065937485,10.39411065,11.8443339,Nb,O6,Octahedron,56,Nb2O5,R_Nb2O5,R-Nb2O5,Wadsley-Roth Adjacent,V2O5,265.81,Nb,2,176.48,176.48,180.23,1.021248867,167.85,0.951099275,1.750287979,0.87514399,0.1,2,1,1,Symmetric,2,6,4,10.1039/D2TA08653K,"No general specific capacity reported, so first discharge is used."
1.996932817,0.151620129,0.256345274,0.060040348,1.223584193,192,132,0,352,90.18789843,4.913992049,-0.119398098,10.19345491,28.63596702,Nb,O6,Octahedron,352,Nb13O31,Ta7Ti1.5Mo1.5O25,Ta7Ti1.5Mo1.5O25,Wadsley-Roth,WR,1882.33,"Ta, Ti",10,140,139.16,97.1,0.697757976,97.53,1.426843023,9.8325576,0.98325576,0.1,3,3,inf,Asymmetric,9,12,0.6875,10.1039/D3DT02144K,
1.832802324,0.011582585,-1.08E-14,0.006319604,2.270882282,192,132,0,352,109.5653382,5.372265805,0.71377127,3.116130057,34.64411759,Nb,O4,Tetrahedron,352,Nb13O31,Ta7Ti1.5Mo1.5O25,Ta7Ti1.5Mo1.5O25,Wadsley-Roth,WR,1882.33,"Ta, Ti",10,140,139.16,97.1,0.697757976,97.53,1.426843023,9.8325576,0.98325576,0.1,3,3,inf,Asymmetric,9,12,0.6875,10.1039/D3DT02144K,
1.974249143,0.13112496,-0.220855771,0.049132252,1.695850381,192,132,0,352,100.9218903,18.16042958,1.694921653,6.035110164,,Nb,O5,Trigonal bipyramid,352,Nb13O31,Ta7Ti1.5Mo1.5O25,Ta7Ti1.5Mo1.5O25,Wadsley-Roth,WR,1882.33,"Ta, Ti",10,140,139.16,97.1,0.697757976,97.53,1.426843023,9.8325576,0.98325576,0.1,3,3,inf,Asymmetric,9,12,0.6875,10.1039/D3DT02144K,
1.988157419,0.111092615,0.299289386,0.044353707,1.242048956,136,168,0,328,93.69305092,13.90662539,1.549568028,9.842444901,294.9888413,Nb,O6,Octahedron,328,Nb12O29,Ti1.3Nb24O62,TiNb24O62,Wadsley-Roth,WR,3269.6,"Ti,Nb",25,300,305,240,0.786885246,200,0.655737705,36.59810333,1.463924133,0.1,3,4,2,Symmetric,12,14,1.235294118,10.1021/acs.inorgchem.6b03154,"First charge value is retrieved from Table 1 and column ""first cycle capacity (mAhg^-1)."
1.99609918,0.153607372,-0.164194856,0.061232273,1.250302613,48,70,0,120,93.70291609,13.95176445,1.637261915,9.865669248,296.5681727,Nb,O6,Octahedron,120,Nb3O7,Ti2Nb10O29,Ti2Nb10O29,Wadsley-Roth,WR,1488.78,"Ti, Nb",12,251.4,268.79,237.28,0.882770936,255.96,0.952267569,13.9649215,1.163743459,0.5,3,4,inf,Symmetric,12,14,1.458333333,10.1063/5.0054030,No specific capacity reported aside from Figure 3a. 
2.01925047,0.161651435,0.285578788,0.06949351,1.258468725,92,56,0,164,92.41737392,10.32833813,0.181888032,10.16692949,207.5287483,Nb,O6,Octahedron,164,Nb12O29,TiNb2O7,TiNb2O7,Wadsley-Roth,WR,345.7,"Ti,Nb",3,232.6,281.73,291.35,1.047418752,281.73,1.01283434,3.000210934,1.000070311,0.1,3,3,inf,Symmetric,9,12,0.608695652,10.1021/jacs.9b06669,"DOI added by Steph. Capacity, first charge and disharge, and 2nd discharge were extracted from inset in Fig. 3 in paper: https://pubs.acs.org/doi/full/10.1021/acs.chemmater.0c02955."
2.01925047,0.161651435,0.285578788,0.06949351,1.258468725,92,56,0,164,92.41737392,10.32833813,0.181888032,10.16692949,207.5287483,Nb,O6,Octahedron,164,Nb12O29,TiNb2O7,Ru0.01Ti0.99Nb2O7,Wadsley-Roth,WR,365.41,"Ti, Nb",3,388,350,302,0.862857143,308,0.88,5.28999003,1.76333001,0.1,3,3,inf,Symmetric,9,12,0.608695652,10.1039/C5TA01073J,"For capacity column, the theoretical capacity is provided. Use TiNb2O7, modify based on table 1, export as CIF."
